Invoice ID,Date,Time,Product line,Product_Name,Unit price,Quantity,Sales,Transaction_Type,Current_Stock
875-31-8302,2019-01-03,1:07:00 PM,Sports and travel,Kacamata Renang,50000,1,50000,OUT (Penjualan),92
422-29-8786,2019-01-03,4:47:00 PM,Home and lifestyle,Lampu LED Philips,35000,5,175000,OUT (Penjualan),95
552-44-5977,2019-01-03,7:08:00 PM,Health and beauty,Skincare Wardah,55000,8,440000,OUT (Penjualan),87
687-15-1097,2019-01-03,7:17:00 PM,Health and beauty,Skincare Wardah,55000,2,110000,OUT (Penjualan),85
501-61-1753,2019-01-03,8:24:00 PM,Home and lifestyle,Sapu Lantai,25000,6,150000,OUT (Penjualan),94
132-23-6451,2019-01-04,1:21:00 PM,Health and beauty,Shampo Clear,28000,5,140000,OUT (Penjualan),94
656-16-1063,2019-01-04,1:24:00 PM,Sports and travel,Jas Hujan,65000,3,195000,OUT (Penjualan),85
731-14-2199,2019-01-04,1:34:00 PM,Home and lifestyle,Pewangi Ruangan,18000,10,180000,OUT (Penjualan),90
672-51-8681,2019-01-04,6:19:00 PM,Electronic accessories,Charger HP,45000,9,405000,OUT (Penjualan),81
725-32-9708,2019-01-04,7:01:00 PM,Fashion accessories,Dompet Lipat,60000,4,240000,OUT (Penjualan),87
279-74-2924,2019-01-04,7:40:00 PM,Electronic accessories,Powerbank 10000mAh,120000,1,120000,OUT (Penjualan),97
217-58-1179,2019-01-05,11:25:00 AM,Home and lifestyle,Lampu LED Philips,35000,4,140000,OUT (Penjualan),91
339-12-4827,2019-01-05,11:32:00 AM,Fashion accessories,Dompet Lipat,60000,1,60000,OUT (Penjualan),86
489-82-1237,2019-01-05,11:51:00 AM,Electronic accessories,Powerbank 10000mAh,120000,7,840000,OUT (Penjualan),90
573-98-8548,2019-01-05,12:40:00 PM,Fashion accessories,Kaos Kaki Polos,15000,1,15000,OUT (Penjualan),88
750-67-8428,2019-01-05,1:08:00 PM,Health and beauty,Pasta Gigi Pepsodent,15000,7,105000,OUT (Penjualan),81
144-51-6085,2019-01-05,4:05:00 PM,Home and lifestyle,Pewangi Ruangan,18000,4,72000,OUT (Penjualan),86
209-61-0206,2019-01-05,5:29:00 PM,Home and lifestyle,Deterjen Rinso,22000,5,110000,OUT (Penjualan),87
433-08-7822,2019-01-05,7:48:00 PM,Health and beauty,Shampo Clear,28000,7,196000,OUT (Penjualan),87
843-01-4703,2019-01-05,7:50:00 PM,Home and lifestyle,Sapu Lantai,25000,9,225000,OUT (Penjualan),85
801-88-0346,2019-01-05,8:30:00 PM,Fashion accessories,Kaos Kaki Polos,15000,3,45000,OUT (Penjualan),85
841-18-8232,2019-01-05,8:40:00 PM,Food and beverages,Indomie Goreng,3500,1,3500,OUT (Penjualan),99
628-34-3388,2019-01-05,8:54:00 PM,Fashion accessories,Topi Baseball,35000,6,210000,OUT (Penjualan),94
490-29-1201,2019-01-06,11:09:00 AM,Sports and travel,Botol Minum Tumblr,40000,1,40000,OUT (Penjualan),99
729-06-2010,2019-01-06,11:18:00 AM,Health and beauty,Skincare Wardah,55000,9,495000,OUT (Penjualan),76
704-11-6354,2019-01-06,11:23:00 AM,Home and lifestyle,Lampu LED Philips,35000,8,280000,OUT (Penjualan),83
846-10-0341,2019-01-06,11:51:00 AM,Fashion accessories,Ikat Pinggang Hitam,45000,7,315000,OUT (Penjualan),93
834-25-9262,2019-01-06,12:12:00 PM,Fashion accessories,Ikat Pinggang Hitam,45000,4,180000,OUT (Penjualan),89
393-65-2792,2019-01-06,12:46:00 PM,Food and beverages,Kopi Kapal Api,1500,10,15000,OUT (Penjualan),90
852-82-2749,2019-01-06,1:35:00 PM,Sports and travel,Botol Minum Tumblr,40000,4,160000,OUT (Penjualan),95
662-72-2873,2019-01-06,1:58:00 PM,Food and beverages,Indomie Goreng,3500,5,17500,OUT (Penjualan),94
826-58-8051,2019-01-06,7:46:00 PM,Home and lifestyle,Deterjen Rinso,22000,4,88000,OUT (Penjualan),83
126-54-1082,2019-01-07,11:44:00 AM,Home and lifestyle,Sapu Lantai,25000,9,225000,OUT (Penjualan),76
541-48-8554,2019-01-07,12:08:00 PM,Sports and travel,Kacamata Renang,50000,9,450000,OUT (Penjualan),83
889-04-9723,2019-01-07,12:20:00 PM,Food and beverages,Beras 5kg,65000,4,260000,OUT (Penjualan),88
232-16-2483,2019-01-07,12:28:00 PM,Sports and travel,Matras Yoga,85000,1,85000,OUT (Penjualan),77
390-31-6381,2019-01-07,12:37:00 PM,Food and beverages,Kopi Kapal Api,1500,3,4500,OUT (Penjualan),87
109-28-2512,2019-01-07,3:01:00 PM,Fashion accessories,Kaos Kaki Polos,15000,6,90000,OUT (Penjualan),79
799-71-1548,2019-01-07,4:11:00 PM,Electronic accessories,Kabel Data Type-C,35000,4,140000,OUT (Penjualan),96
526-86-8552,2019-01-07,5:36:00 PM,Home and lifestyle,Lampu LED Philips,35000,10,350000,OUT (Penjualan),73
566-19-5475,2019-01-07,8:52:00 PM,Fashion accessories,Dompet Lipat,60000,7,420000,OUT (Penjualan),79
442-44-6497,2019-01-08,11:42:00 AM,Home and lifestyle,Pewangi Ruangan,18000,3,54000,OUT (Penjualan),83
767-97-4650,2019-01-08,11:59:00 AM,Sports and travel,Botol Minum Tumblr,40000,2,80000,OUT (Penjualan),93
387-49-4215,2019-01-08,12:50:00 PM,Sports and travel,Kacamata Renang,50000,3,150000,OUT (Penjualan),80
241-96-5076,2019-01-08,12:58:00 PM,Home and lifestyle,Deterjen Rinso,22000,2,44000,OUT (Penjualan),81
674-15-9296,2019-01-08,1:05:00 PM,Sports and travel,Matras Yoga,85000,5,425000,OUT (Penjualan),72
750-57-9686,2019-01-08,1:48:00 PM,Home and lifestyle,Lampu LED Philips,35000,4,140000,OUT (Penjualan),69
192-98-7397,2019-01-08,2:11:00 PM,Fashion accessories,Dompet Lipat,60000,1,60000,OUT (Penjualan),78
490-95-0021,2019-01-08,2:25:00 PM,Food and beverages,Indomie Goreng,3500,10,35000,OUT (Penjualan),84
124-31-1458,2019-01-08,2:30:00 PM,Electronic accessories,Charger HP,45000,3,135000,OUT (Penjualan),78
663-86-9076,2019-01-08,3:57:00 PM,Food and beverages,Minyak Goreng 2L,32000,8,256000,OUT (Penjualan),76
189-08-9157,2019-01-08,4:17:00 PM,Fashion accessories,Kaos Kaki Polos,15000,9,135000,OUT (Penjualan),70
257-60-7754,2019-01-08,5:12:00 PM,Electronic accessories,Kabel Data Type-C,35000,4,140000,OUT (Penjualan),92
840-76-5966,2019-01-08,6:06:00 PM,Sports and travel,Matras Yoga,85000,2,170000,OUT (Penjualan),70
457-13-1708,2019-01-08,7:07:00 PM,Fashion accessories,Ikat Pinggang Hitam,45000,10,450000,OUT (Penjualan),79
631-34-1880,2019-01-08,7:09:00 PM,Food and beverages,Beras 5kg,65000,3,195000,OUT (Penjualan),85
845-94-6841,2019-01-08,7:38:00 PM,Food and beverages,Beras 5kg,65000,9,585000,OUT (Penjualan),76
484-22-8230,2019-01-08,8:08:00 PM,Fashion accessories,Ikat Pinggang Hitam,45000,7,315000,OUT (Penjualan),72
571-94-0759,2019-01-08,8:55:00 PM,Food and beverages,Minyak Goreng 2L,32000,10,320000,OUT (Penjualan),66
189-40-5216,2019-01-09,11:40:00 AM,Electronic accessories,Charger HP,45000,7,315000,OUT (Penjualan),71
867-47-1948,2019-01-09,12:07:00 PM,Home and lifestyle,Deterjen Rinso,22000,10,220000,OUT (Penjualan),71
288-62-1085,2019-01-09,1:34:00 PM,Fashion accessories,Ikat Pinggang Hitam,45000,5,225000,OUT (Penjualan),67
554-42-2417,2019-01-09,1:45:00 PM,Sports and travel,Kacamata Renang,50000,10,500000,OUT (Penjualan),70
370-96-0655,2019-01-09,1:46:00 PM,Fashion accessories,Ikat Pinggang Hitam,45000,6,270000,OUT (Penjualan),61
263-10-3913,2019-01-09,2:20:00 PM,Fashion accessories,Dompet Lipat,60000,9,540000,OUT (Penjualan),69
343-75-9322,2019-01-09,4:34:00 PM,Sports and travel,Jas Hujan,65000,8,520000,OUT (Penjualan),77
305-89-2768,2019-01-09,6:43:00 PM,Home and lifestyle,Sapu Lantai,25000,3,75000,OUT (Penjualan),73
887-42-0517,2019-01-10,10:31:00 AM,Sports and travel,Jas Hujan,65000,7,455000,OUT (Penjualan),70
241-11-2261,2019-01-10,10:33:00 AM,Fashion accessories,Ikat Pinggang Hitam,45000,7,315000,OUT (Penjualan),54
226-34-0034,2019-01-10,11:10:00 AM,Electronic accessories,Powerbank 10000mAh,120000,4,480000,OUT (Penjualan),86
603-07-0961,2019-01-10,11:34:00 AM,Electronic accessories,Kabel Data Type-C,35000,5,175000,OUT (Penjualan),87
744-02-5987,2019-01-10,2:16:00 PM,Home and lifestyle,Pewangi Ruangan,18000,6,108000,OUT (Penjualan),77
640-49-2076,2019-01-10,2:49:00 PM,Sports and travel,Kacamata Renang,50000,8,400000,OUT (Penjualan),62
873-51-0671,2019-01-10,4:42:00 PM,Sports and travel,Botol Minum Tumblr,40000,7,280000,OUT (Penjualan),86
665-32-9167,2019-01-10,5:15:00 PM,Health and beauty,Pasta Gigi Pepsodent,15000,2,30000,OUT (Penjualan),79
577-34-7579,2019-01-10,5:16:00 PM,Food and beverages,Minyak Goreng 2L,32000,9,288000,OUT (Penjualan),57
289-15-7034,2019-01-11,10:37:00 AM,Sports and travel,Kacamata Renang,50000,4,200000,OUT (Penjualan),58
478-06-7835,2019-01-11,11:20:00 AM,Fashion accessories,Dompet Lipat,60000,1,60000,OUT (Penjualan),68
406-46-7107,2019-01-11,11:52:00 AM,Home and lifestyle,Pewangi Ruangan,18000,6,108000,OUT (Penjualan),71
130-67-4723,2019-01-11,1:57:00 PM,Food and beverages,Kopi Kapal Api,1500,6,9000,OUT (Penjualan),81
746-68-6593,2019-01-11,2:29:00 PM,Sports and travel,Botol Minum Tumblr,40000,2,80000,OUT (Penjualan),84
540-11-4336,2019-01-11,4:49:00 PM,Food and beverages,Kopi Kapal Api,1500,9,13500,OUT (Penjualan),72
732-67-5346,2019-01-11,7:07:00 PM,Food and beverages,Kopi Kapal Api,1500,5,7500,OUT (Penjualan),67
592-46-1692,2019-01-11,8:10:00 PM,Food and beverages,Indomie Goreng,3500,7,24500,OUT (Penjualan),77
852-62-7105,2019-01-12,11:25:00 AM,Fashion accessories,Topi Baseball,35000,10,350000,OUT (Penjualan),84
533-66-5566,2019-01-12,11:42:00 AM,Home and lifestyle,Deterjen Rinso,22000,7,154000,OUT (Penjualan),64
659-36-1684,2019-01-12,12:02:00 PM,Sports and travel,Matras Yoga,85000,7,595000,OUT (Penjualan),63
704-48-3927,2019-01-12,2:50:00 PM,Electronic accessories,Earphone TWS,150000,10,1500000,OUT (Penjualan),78
381-20-0914,2019-01-12,3:48:00 PM,Fashion accessories,Dompet Lipat,60000,9,540000,OUT (Penjualan),59
751-41-9720,2019-01-12,4:18:00 PM,Home and lifestyle,Pewangi Ruangan,18000,10,180000,OUT (Penjualan),61
647-50-1224,2019-01-12,4:23:00 PM,Fashion accessories,Kaos Kaki Polos,15000,10,150000,OUT (Penjualan),60
751-15-6198,2019-01-12,4:45:00 PM,Sports and travel,Matras Yoga,85000,6,510000,OUT (Penjualan),57
848-07-1692,2019-01-12,5:13:00 PM,Health and beauty,Skincare Wardah,55000,2,110000,OUT (Penjualan),74
197-77-7132,2019-01-12,6:22:00 PM,Electronic accessories,Kabel Data Type-C,35000,8,280000,OUT (Penjualan),79
296-11-7041,2019-01-12,8:07:00 PM,Health and beauty,Pasta Gigi Pepsodent,15000,1,15000,OUT (Penjualan),78
460-93-5834,2019-01-13,10:03:00 AM,Sports and travel,Matras Yoga,85000,7,595000,OUT (Penjualan),50
195-06-0432,2019-01-13,12:55:00 PM,Home and lifestyle,Deterjen Rinso,22000,3,66000,OUT (Penjualan),61
784-08-0310,2019-01-13,1:58:00 PM,Food and beverages,Minyak Goreng 2L,32000,4,128000,OUT (Penjualan),53
339-38-9982,2019-01-13,2:55:00 PM,Fashion accessories,Topi Baseball,35000,2,70000,OUT (Penjualan),82
732-94-0499,2019-01-13,5:04:00 PM,Electronic accessories,Earphone TWS,150000,10,1500000,OUT (Penjualan),68
397-25-8725,2019-01-13,5:54:00 PM,Health and beauty,Skincare Wardah,55000,9,495000,OUT (Penjualan),65
459-50-7686,2019-01-13,7:14:00 PM,Electronic accessories,Kabel Data Type-C,35000,6,210000,OUT (Penjualan),73
556-86-3144,2019-01-13,7:30:00 PM,Fashion accessories,Topi Baseball,35000,1,35000,OUT (Penjualan),81
327-40-9673,2019-01-13,7:51:00 PM,Sports and travel,Matras Yoga,85000,6,510000,OUT (Penjualan),44
355-34-6244,2019-01-13,7:55:00 PM,Food and beverages,Kopi Kapal Api,1500,2,3000,OUT (Penjualan),65
426-39-2418,2019-01-14,10:02:00 AM,Electronic accessories,Powerbank 10000mAh,120000,7,840000,OUT (Penjualan),79
320-85-2052,2019-01-14,10:11:00 AM,Sports and travel,Matras Yoga,85000,1,85000,OUT (Penjualan),43
559-61-5987,2019-01-14,10:38:00 AM,Health and beauty,Shampo Clear,28000,1,28000,OUT (Penjualan),86
704-10-4056,2019-01-14,10:55:00 AM,Health and beauty,Skincare Wardah,55000,3,165000,OUT (Penjualan),62
868-52-7573,2019-01-14,12:09:00 PM,Food and beverages,Minyak Goreng 2L,32000,5,160000,OUT (Penjualan),48
667-23-5919,2019-01-14,12:52:00 PM,Fashion accessories,Dompet Lipat,60000,5,300000,OUT (Penjualan),54
377-79-7592,2019-01-14,2:00:00 PM,Electronic accessories,Kabel Data Type-C,35000,9,315000,OUT (Penjualan),64
592-34-6155,2019-01-14,2:43:00 PM,Food and beverages,Kopi Kapal Api,1500,4,6000,OUT (Penjualan),61
451-73-2711,2019-01-14,3:20:00 PM,Food and beverages,Kopi Kapal Api,1500,1,1500,OUT (Penjualan),60
658-66-3967,2019-01-14,3:42:00 PM,Health and beauty,Sabun Cair Lifebuoy,25000,7,175000,OUT (Penjualan),84
359-90-3665,2019-01-14,6:03:00 PM,Fashion accessories,Topi Baseball,35000,4,140000,OUT (Penjualan),77
785-13-7708,2019-01-14,7:06:00 PM,Food and beverages,Beras 5kg,65000,7,455000,OUT (Penjualan),69
588-47-8641,2019-01-14,7:30:00 PM,Fashion accessories,Kaos Kaki Polos,15000,10,150000,OUT (Penjualan),50
301-11-9629,2019-01-15,10:43:00 AM,Sports and travel,Kacamata Renang,50000,7,350000,OUT (Penjualan),51
589-02-8023,2019-01-15,10:54:00 AM,Food and beverages,Indomie Goreng,3500,2,7000,OUT (Penjualan),75
437-58-8131,2019-01-15,1:41:00 PM,Fashion accessories,Ikat Pinggang Hitam,45000,2,90000,OUT (Penjualan),52
744-16-7898,2019-01-15,1:48:00 PM,Home and lifestyle,Lampu LED Philips,35000,10,350000,OUT (Penjualan),59
188-55-0967,2019-01-15,3:01:00 PM,Health and beauty,Shampo Clear,28000,10,280000,OUT (Penjualan),76
660-29-7083,2019-01-15,3:01:00 PM,Electronic accessories,Charger HP,45000,10,450000,OUT (Penjualan),61
138-17-5109,2019-01-15,3:42:00 PM,Home and lifestyle,Lampu LED Philips,35000,9,315000,OUT (Penjualan),50
299-46-1805,2019-01-15,4:19:00 PM,Sports and travel,Matras Yoga,85000,6,510000,OUT (Penjualan),37
272-65-1806,2019-01-15,5:17:00 PM,Electronic accessories,Kabel Data Type-C,35000,9,315000,OUT (Penjualan),55
886-54-6089,2019-01-15,5:24:00 PM,Home and lifestyle,Lampu LED Philips,35000,6,210000,OUT (Penjualan),44
369-82-2676,2019-01-15,6:22:00 PM,Electronic accessories,Powerbank 10000mAh,120000,5,600000,OUT (Penjualan),74
450-28-2866,2019-01-15,7:25:00 PM,Food and beverages,Indomie Goreng,3500,5,17500,OUT (Penjualan),70
314-23-4520,2019-01-15,8:44:00 PM,Health and beauty,Shampo Clear,28000,7,196000,OUT (Penjualan),69
842-29-4695,2019-01-16,12:07:00 PM,Sports and travel,Jas Hujan,65000,7,455000,OUT (Penjualan),63
234-65-2137,2019-01-16,1:32:00 PM,Home and lifestyle,Sapu Lantai,25000,10,250000,OUT (Penjualan),63
372-62-5264,2019-01-16,2:42:00 PM,Food and beverages,Kopi Kapal Api,1500,9,13500,OUT (Penjualan),51
859-71-0933,2019-01-16,3:10:00 PM,Sports and travel,Kacamata Renang,50000,2,100000,OUT (Penjualan),49
659-65-8956,2019-01-16,3:26:00 PM,Fashion accessories,Topi Baseball,35000,1,35000,OUT (Penjualan),76
648-83-1321,2019-01-16,5:59:00 PM,Home and lifestyle,Lampu LED Philips,35000,10,350000,OUT (Penjualan),34
347-72-6115,2019-01-16,6:03:00 PM,Sports and travel,Matras Yoga,85000,7,595000,OUT (Penjualan),30
677-11-0152,2019-01-16,6:08:00 PM,Food and beverages,Beras 5kg,65000,9,585000,OUT (Penjualan),60
618-34-8551,2019-01-16,6:41:00 PM,Sports and travel,Kacamata Renang,50000,2,100000,OUT (Penjualan),47
286-62-6248,2019-01-16,8:03:00 PM,Fashion accessories,Ikat Pinggang Hitam,45000,4,180000,OUT (Penjualan),48
679-22-6530,2019-01-17,10:01:00 AM,Sports and travel,Jas Hujan,65000,2,130000,OUT (Penjualan),61
349-97-8902,2019-01-17,10:37:00 AM,Food and beverages,Minyak Goreng 2L,32000,2,64000,OUT (Penjualan),46
101-81-4070,2019-01-17,12:36:00 PM,Health and beauty,Shampo Clear,28000,2,56000,OUT (Penjualan),67
746-54-5508,2019-01-17,12:48:00 PM,Home and lifestyle,Deterjen Rinso,22000,6,132000,OUT (Penjualan),55
698-98-5964,2019-01-17,1:01:00 PM,Food and beverages,Kopi Kapal Api,1500,10,15000,OUT (Penjualan),41
600-38-9738,2019-01-17,3:05:00 PM,Sports and travel,Botol Minum Tumblr,40000,5,200000,OUT (Penjualan),79
497-37-6538,2019-01-17,3:15:00 PM,Sports and travel,Jas Hujan,65000,7,455000,OUT (Penjualan),54
670-79-6321,2019-01-17,3:27:00 PM,Home and lifestyle,Pewangi Ruangan,18000,7,126000,OUT (Penjualan),54
200-16-5952,2019-01-17,4:46:00 PM,Food and beverages,Kopi Kapal Api,1500,2,3000,OUT (Penjualan),39
445-30-9252,2019-01-17,5:59:00 PM,Sports and travel,Kacamata Renang,50000,3,150000,OUT (Penjualan),44
280-35-5823,2019-01-17,6:45:00 PM,Home and lifestyle,Pewangi Ruangan,18000,1,18000,OUT (Penjualan),53
562-12-5430,2019-01-18,10:11:00 AM,Fashion accessories,Ikat Pinggang Hitam,45000,3,135000,OUT (Penjualan),45
414-12-7047,2019-01-18,12:04:00 PM,Food and beverages,Minyak Goreng 2L,32000,8,256000,OUT (Penjualan),38
821-14-9046,2019-01-18,3:04:00 PM,Fashion accessories,Dompet Lipat,60000,6,360000,OUT (Penjualan),48
622-20-1945,2019-01-18,3:08:00 PM,Health and beauty,Sabun Cair Lifebuoy,25000,1,25000,OUT (Penjualan),83
678-79-0726,2019-01-18,3:28:00 PM,Sports and travel,Jas Hujan,65000,9,585000,OUT (Penjualan),45
781-84-8059,2019-01-18,4:23:00 PM,Fashion accessories,Topi Baseball,35000,7,245000,OUT (Penjualan),69
166-19-2553,2019-01-18,5:26:00 PM,Sports and travel,Matras Yoga,85000,6,510000,OUT (Penjualan),24
706-36-6154,2019-01-18,6:43:00 PM,Home and lifestyle,Lampu LED Philips,35000,9,315000,OUT (Penjualan),25
700-81-1757,2019-01-18,8:59:00 PM,Electronic accessories,Kabel Data Type-C,35000,5,175000,OUT (Penjualan),50
RESTOCK-190,2019-01-19,06:00:00 AM,Sports and travel,Matras Yoga,85000,150,0,IN (Barang Masuk),174
761-49-0439,2019-01-19,10:17:00 AM,Electronic accessories,Kabel Data Type-C,35000,8,280000,OUT (Penjualan),42
779-06-0012,2019-01-19,10:21:00 AM,Home and lifestyle,Sapu Lantai,25000,1,25000,OUT (Penjualan),62
151-27-8496,2019-01-19,11:43:00 AM,Electronic accessories,Kabel Data Type-C,35000,4,140000,OUT (Penjualan),38
728-47-9078,2019-01-19,12:46:00 PM,Food and beverages,Minyak Goreng 2L,32000,4,128000,OUT (Penjualan),34
482-17-1179,2019-01-19,12:47:00 PM,Electronic accessories,Charger HP,45000,3,135000,OUT (Penjualan),58
125-45-2293,2019-01-19,1:11:00 PM,Fashion accessories,Topi Baseball,35000,6,210000,OUT (Penjualan),63
149-61-1929,2019-01-19,2:08:00 PM,Sports and travel,Matras Yoga,85000,10,850000,OUT (Penjualan),164
882-40-4577,2019-01-19,3:28:00 PM,Sports and travel,Kacamata Renang,50000,4,200000,OUT (Penjualan),40
375-72-3056,2019-01-19,3:58:00 PM,Sports and travel,Botol Minum Tumblr,40000,3,120000,OUT (Penjualan),76
284-54-4231,2019-01-19,4:08:00 PM,Sports and travel,Botol Minum Tumblr,40000,1,40000,OUT (Penjualan),75
796-32-9050,2019-01-19,4:31:00 PM,Food and beverages,Beras 5kg,65000,6,390000,OUT (Penjualan),54
608-27-6295,2019-01-19,5:34:00 PM,Electronic accessories,Charger HP,45000,6,270000,OUT (Penjualan),52
809-69-9497,2019-01-19,7:30:00 PM,Home and lifestyle,Sapu Lantai,25000,10,250000,OUT (Penjualan),52
894-41-5205,2019-01-19,7:39:00 PM,Food and beverages,Beras 5kg,65000,8,520000,OUT (Penjualan),46
645-44-1170,2019-01-19,8:07:00 PM,Home and lifestyle,Deterjen Rinso,22000,9,198000,OUT (Penjualan),46
832-51-6761,2019-01-19,8:29:00 PM,Food and beverages,Beras 5kg,65000,8,520000,OUT (Penjualan),38
725-96-3778,2019-01-20,10:13:00 AM,Home and lifestyle,Sapu Lantai,25000,8,200000,OUT (Penjualan),44
458-10-8612,2019-01-20,12:27:00 PM,Health and beauty,Sabun Cair Lifebuoy,25000,7,175000,OUT (Penjualan),76
356-44-8813,2019-01-20,1:45:00 PM,Home and lifestyle,Sapu Lantai,25000,3,75000,OUT (Penjualan),41
787-87-2010,2019-01-20,3:48:00 PM,Health and beauty,Sabun Cair Lifebuoy,25000,4,100000,OUT (Penjualan),72
817-48-8732,2019-01-20,3:55:00 PM,Home and lifestyle,Pewangi Ruangan,18000,10,180000,OUT (Penjualan),43
257-73-1380,2019-01-20,4:51:00 PM,Sports and travel,Kacamata Renang,50000,4,200000,OUT (Penjualan),36
410-67-1709,2019-01-20,5:48:00 PM,Fashion accessories,Kaos Kaki Polos,15000,8,120000,OUT (Penjualan),42
645-78-8093,2019-01-20,6:09:00 PM,Sports and travel,Kacamata Renang,50000,2,100000,OUT (Penjualan),34
760-27-5490,2019-01-20,8:37:00 PM,Fashion accessories,Dompet Lipat,60000,8,480000,OUT (Penjualan),40
378-24-2715,2019-01-20,8:38:00 PM,Home and lifestyle,Lampu LED Philips,35000,2,70000,OUT (Penjualan),23
316-68-6352,2019-01-21,10:00:00 AM,Food and beverages,Kopi Kapal Api,1500,2,3000,OUT (Penjualan),37
870-72-4431,2019-01-21,2:42:00 PM,Health and beauty,Pasta Gigi Pepsodent,15000,6,90000,OUT (Penjualan),72
239-10-7476,2019-01-21,4:37:00 PM,Home and lifestyle,Sapu Lantai,25000,6,150000,OUT (Penjualan),35
401-18-8016,2019-01-21,5:36:00 PM,Sports and travel,Matras Yoga,85000,1,85000,OUT (Penjualan),163
462-67-9126,2019-01-21,5:44:00 PM,Home and lifestyle,Deterjen Rinso,22000,6,132000,OUT (Penjualan),40
329-62-1586,2019-01-21,6:00:00 PM,Food and beverages,Minyak Goreng 2L,32000,3,96000,OUT (Penjualan),31
269-10-8440,2019-01-21,6:01:00 PM,Health and beauty,Sabun Cair Lifebuoy,25000,7,175000,OUT (Penjualan),65
162-65-8559,2019-01-21,8:13:00 PM,Food and beverages,Minyak Goreng 2L,32000,1,32000,OUT (Penjualan),30
RESTOCK-218,2019-01-22,06:00:00 AM,Home and lifestyle,Lampu LED Philips,35000,150,0,IN (Barang Masuk),173
287-21-9091,2019-01-22,10:55:00 AM,Home and lifestyle,Lampu LED Philips,35000,9,315000,OUT (Penjualan),164
186-09-3669,2019-01-22,10:57:00 AM,Health and beauty,Shampo Clear,28000,1,28000,OUT (Penjualan),66
460-35-4390,2019-01-22,11:00:00 AM,Home and lifestyle,Pewangi Ruangan,18000,3,54000,OUT (Penjualan),40
563-47-4072,2019-01-22,11:52:00 AM,Health and beauty,Skincare Wardah,55000,6,330000,OUT (Penjualan),56
120-54-2248,2019-01-22,6:08:00 PM,Food and beverages,Indomie Goreng,3500,5,17500,OUT (Penjualan),65
756-01-7507,2019-01-22,6:56:00 PM,Health and beauty,Skincare Wardah,55000,5,275000,OUT (Penjualan),51
521-18-7827,2019-01-22,8:46:00 PM,Home and lifestyle,Deterjen Rinso,22000,5,110000,OUT (Penjualan),35
RESTOCK-234,2019-01-23,06:00:00 AM,Food and beverages,Beras 5kg,65000,150,0,IN (Barang Masuk),174
